,Address,AvgCost2,City,Cuisines,Lat,Locality,Long,PriceRange,RatingAvg,RatingColor,RatingTxt,RestID,RestName,Timings,URL,ZipCode,cityID
324,400 North Toole Avenue 85701,70,Tucson,French,32.2255200000,Congress Street,-110.9698400000,4,4.0,5BA829,Very Good,17251741,Maynards Market & Kitchen,"7 AM to 9 PM (Mon-Thu, Sun), 7 AM to 10 PM (Fri-Sat)",https://www.zomato.com/tucson-az/maynards-market-kitchen-congress-street?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85701,466
325,"1400 E 16th St, Yuma 85365",25,Yuma,"Japanese, Sushi",32.6987890000,Yuma,-114.6059390000,2,3.6,9ACD32,Good,17709038,Ninja Sushi,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/yuma-az/ninja-sushi-yuma?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85365,463
326,"2851 ave B, Yuma 85365",10,Yuma,"Sandwich, Beverages",32.6998220000,Yuma,-114.6034350000,1,3.8,9ACD32,Good,17709020,Kneaders Bakery & Cafe,"(Sun),Breakfast, Lunch, Dinner (Mon-Sat)",https://www.zomato.com/yuma-az/kneaders-bakery-cafe-yuma?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85365,463
327,1780 South Sunridge Drive 85365,10,Yuma,American,32.6958900000,Yuma,-114.6040700000,1,3.5,9ACD32,Good,17708835,Cracker Barrel Old Country Store,"6 AM to 10 PM (Mon-Thu, Sun), 6 AM to 11 PM (Fri-Sat)",https://www.zomato.com/yuma-az/cracker-barrel-old-country-store-yuma?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85365,463
328,"1940 E 16th St, Yuma 85365",25,Yuma,"American, Burger",32.6988500000,Yuma,-114.6003520000,2,3.7,9ACD32,Good,17709021,In-N-Out Burger,"10:30 AM to 1 AM (Mon, Tue, Wed, Thu, Sun), 10:30 AM to 1:30 AM (Fri-Sat)",https://www.zomato.com/yuma-az/in-n-out-burger-yuma?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85365,463
329,1501 South Yuma Palms Parkway 85365,25,Yuma,BBQ,32.6997700000,Yuma,-114.6018000000,2,3.4,CDD614,Average,17709023,Famous Dave's Bar-B-Que,"11 AM to 10 PM (Mon-Thu, Sat-Sun), 11 AM to 11 PM (Fri)",https://www.zomato.com/yuma-az/famous-daves-bar-b-que-yuma?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85365,463
330,1720 East 16th Street 85366,25,Yuma,Italian,32.6986600000,Yuma,-114.5998800000,2,3.5,9ACD32,Good,17708951,Olive Garden Italian Restaurant,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",https://www.zomato.com/yuma-az/olive-garden-italian-restaurant-yuma?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85366,463
331,"1605 South Pacific Ave, Yuma",25,Yuma,Asian,32.6984190000,Yuma,-114.5987867000,2,3.1,CDD614,Average,17709063,Lin's Grand Buffet,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)",https://www.zomato.com/yuma-az/lins-grand-buffet-yuma?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,,463
332,1435 East 16th Street. 85365,10,Yuma,"American, Diner",32.6979981000,Yuma,-114.6056330000,1,3.2,CDD614,Average,17708848,Denny's,24 Hours,https://www.zomato.com/yuma-az/dennys-yuma?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85365,463
333,1521 South. Yuma Palms Parkway 85365,25,Yuma,Seafood,32.6997700000,Yuma,-114.6018000000,2,3.3,CDD614,Average,17709043,Red Lobster,"11 AM to 10 PM (Mon-Thu, Sun), 11 AM to 11 PM (Fri-Sat)",https://www.zomato.com/yuma-az/red-lobster-1-yuma?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,85365,463
